paper_id,title,publication_date,doi,pmid,entity,entity_type,confidence,start,end
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,paracetamol,Chemical,0.9984475374221802,0,11
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,acetaminophen,Chemical,0.9983735084533691,13,26
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,paracetamol,Chemical,0.9984434247016907,53,64
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,fever,Disease,0.9948564767837524,91,96
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,pain,Disease,0.9940693378448486,101,105
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,attention deficit hyperactivity disorder,Disease,0.994168221950531,176,216
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,autism spectrum disorder,Disease,0.9957054257392883,221,245
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,paracetamol,Chemical,0.9985678195953369,415,426
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,paracetamol,Chemical,0.9985306262969971,705,716
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,paracetamol,Chemical,0.9984875917434692,744,755
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,paracetamol,Chemical,0.9985231757164001,936,947
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,paracetamol,Chemical,0.9984813332557678,1041,1052
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,prostaglandin,Chemical,0.9839615821838379,1098,1111
MED-34681816,Paracetamol (Acetaminophen) and the Developing Brain.,2021,10.1007/s11356-021-14136-6,34681816,prostaglandin h2,Chemical,0.9555990099906921,1177,1193
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,paracetamol,Chemical,0.9981586337089539,27,38
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,phenacetin,Chemical,0.9980528950691223,43,53
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,paracetamol,Chemical,0.9981504082679749,87,98
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,paracetamol,Chemical,0.9982220530509949,219,230
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,mercapturic acid,Chemical,0.9895035028457642,427,443
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,cysteine,Chemical,0.9834170937538147,448,456
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,paracetamol,Chemical,0.9975760579109192,578,589
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,hepatotoxic,Disease,0.796660304069519,635,646
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,paracetamol,Chemical,0.9978850483894348,654,665
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,sulphate,Chemical,0.7150214910507202,717,725
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,mercapturic acid,Chemical,0.9884818196296692,782,798
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,cysteine,Chemical,0.9745940566062927,803,811
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,paracetamol,Chemical,0.99806147813797,861,872
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,phenacetin,Chemical,0.9981637001037598,1061,1071
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,paracetamol,Chemical,0.9964423775672913,1139,1150
MED-7002186,Kinetics and metabolism of paracetamol and phenacetin.,1980,10.1111/j.1365-2125.1980.tb01812.x,7002186,toxicity,Disease,0.9937258362770081,1202,1210
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9980331063270569,23,34
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9974141120910645,35,46
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,acetaminophen,Chemical,0.9981752634048462,48,61
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,prostaglandins,Chemical,0.9601523280143738,130,144
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,pgs,Chemical,0.8573382496833801,146,149
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9981675148010254,183,194
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9977983236312866,269,280
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9981086254119873,367,378
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,inflammation,Disease,0.8626340627670288,401,413
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,rheumatoid arthritis,Disease,0.9935675859451294,417,437
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,swelling,Disease,0.9438057541847229,465,473
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,inflammation,Disease,0.9730747938156128,518,530
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9978647828102112,548,559
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,pg,Chemical,0.816710889339447,583,585
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9981716871261597,687,698
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,arachidonic acid,Chemical,0.9956361055374146,778,794
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,arachidonic acid,Chemical,0.9946362972259521,850,866
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9980583786964417,990,1001
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9980702996253967,1162,1173
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9980033040046692,1290,1301
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.998178243637085,1476,1487
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,paracetamol,Chemical,0.9981462955474854,1646,1657
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,glutathione,Chemical,0.9919694066047668,1810,1821
MED-15662292,Mechanism of action of paracetamol.,2005,10.1097/00045391-200501000-00008,15662292,pge,Chemical,0.9941043257713318,1853,1856
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,paracetamol,Chemical,0.9979050159454346,0,11
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,acetaminophen,Chemical,0.9980579018592834,13,26
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,poisoning,Disease,0.9120782613754272,28,37
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,paracetamol,Chemical,0.9982098340988159,55,66
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,acetaminophen,Chemical,0.9979967474937439,68,81
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,toxicity,Disease,0.9372444748878479,176,184
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,acute,Disease,0.8046218156814575,297,302
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,liver damage,Disease,0.7614137530326843,303,315
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,of liver function,Disease,0.7093694806098938,409,426
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,overdose,Disease,0.9311213493347168,468,476
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,hepatotoxicity,Disease,0.9932131767272949,521,535
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,paracetamol,Chemical,0.9981356859207153,554,565
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,liver damage,Disease,0.9865232110023499,595,607
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,paracetamol,Chemical,0.9980635046958923,877,888
MED-37683599,Paracetamol (acetaminophen) poisoning: The early years.,2024,10.1111/bcp.15903,37683599,paracetamol,Chemical,0.9940142035484314,1003,1014
