subject,subject_type,relation,object,object_type,relation_confidence,paper_id,title,publication_date,doi,pmid,evidence_text
metformin,Chemical,treats,obesity,Disease,0.9880560636520386,42532077,Metformin added to lifestyle intervention for physical function in older adults with obesity (DEMFOS trial): a randomised controlled trial.,2027-07-01,10.1016/j.lanhl.2026.100883,42532077,Metformin added to lifestyle intervention for physical function in older adults with obesity (DEMFOS trial): a randomised controlled trial..
metformin,Chemical,treats,obesity,Disease,0.9934855103492737,42532078,Adjunctive metformin for obesity and frailty in older people-puncturing inflated expectations?,2027-07-01,10.1016/j.lanhl.2026.100890,42532078,Adjunctive metformin for obesity and frailty in older people-puncturing inflated expectations?.
metformin,Chemical,treats,frailty,Disease,0.9905363917350769,42532078,Adjunctive metformin for obesity and frailty in older people-puncturing inflated expectations?,2027-07-01,10.1016/j.lanhl.2026.100890,42532078,Adjunctive metformin for obesity and frailty in older people-puncturing inflated expectations?.
metformin,Chemical,treats,diabetes,Disease,0.9003170728683472,PPR1294102,Randomized metformin and cognitive outcomes in the Diabetes Prevention Program Outcomes Study,2026-08-07,10.64898/2026.08.05.26359234,,Randomized metformin and cognitive outcomes in the Diabetes Prevention Program Outcomes Study.
metformin,Chemical,treats,breast cancer,Disease,0.8487040400505066,42528302,Impact of Metformin Use on Clinical and Pathological Outcomes in Breast Cancer Patients With Type 2 Diabetes.,2026-08-01,10.1002/cnr2.70631,42528302,Impact of Metformin Use on Clinical and Pathological Outcomes in Breast Cancer Patients With Type 2 Diabetes..
metformin,Chemical,inhibits,cardiac fibrosis,Disease,0.8844128251075745,42587816,Metformin Inhibits Cardiac Fibroblast Differentiation by Promoting Fatty Acid β-Oxidation: Implications for Age-Associated Cardiac Fibrosis.,2026-08-04,10.3390/cells15151408,42587816,Metformin Inhibits Cardiac Fibroblast Differentiation by Promoting Fatty Acid β-Oxidation: Implications for Age-Associated Cardiac Fibrosis..
metformin,Chemical,affects_efficacy_of,pcos,Disease,0.7482094168663025,42592843,Impact of Oral Contraceptives and Metformin on Advanced Lipid Phenotyping in PCOS.,2026-08-13,10.1093/ejendo/lvag149,42592843,Impact of Oral Contraceptives and Metformin on Advanced Lipid Phenotyping in PCOS..
metformin,Chemical,treats,frailty,Disease,0.9325709342956543,PPR1288130,A Randomized Clinical Trial of Metformin to Reduce Frailty in Older Adults with Glucose Intolerance,2026-07-28,10.64898/2026.07.27.26359055,,A Randomized Clinical Trial of Metformin to Reduce Frailty in Older Adults with Glucose Intolerance.
metformin,Chemical,treats,glucose intolerance,Disease,0.9363960027694702,PPR1288130,A Randomized Clinical Trial of Metformin to Reduce Frailty in Older Adults with Glucose Intolerance,2026-07-28,10.64898/2026.07.27.26359055,,A Randomized Clinical Trial of Metformin to Reduce Frailty in Older Adults with Glucose Intolerance.
metformin,Chemical,treats,myocardial ischemia and reperfusion injury,Disease,0.9406152367591858,42570748,The effects of Metformin on myocardial ischemia and reperfusion injury in diabetic rats and its potential mechanism.,2026-08-08,10.1016/j.cellsig.2026.112802,42570748,The effects of Metformin on myocardial ischemia and reperfusion injury in diabetic rats and its potential mechanism..
metformin,Chemical,treats,type 1 diabetes,Disease,0.989905059337616,42604858,Adjunctive metformin therapy in type 1 diabetes in pregnancy: insights from an Australian cohort.,2026-08-16,10.1111/imj.70607,42604858,Adjunctive metformin therapy in type 1 diabetes in pregnancy: insights from an Australian cohort..
metformin,Chemical,treats,hyperglycemia,Disease,0.797653079032898,42555357,The coordinated actions of metformin in the intestine and liver improves hyperglycemia.,2026-08-05,10.1016/j.celrep.2026.117791,42555357,The coordinated actions of metformin in the intestine and liver improves hyperglycemia..
metformin,Chemical,prevents,abdominal aortic aneurysm,Disease,0.9746763110160828,42487515,Evidence of a Protective Effect of Metformin on Abdominal Aortic Aneurysm Risk: Insights From an Observational Study and Mendelian Randomisation Analysis Using Putative Metformin Targets.,2026-07-23,10.1111/ahg.70049,42487515,Evidence of a Protective Effect of Metformin on Abdominal Aortic Aneurysm Risk: Insights From an Observational Study and Mendelian Randomisation Analysis Using Putative Metformin Targets..
metformin,Chemical,treats,chronic rhinosinusitis,Disease,0.9755503535270691,42595760,Metformin improves chronic rhinosinusitis with depressive-like behavior in mice by targeting TCF4 to inhibit the TLR4/NF-κB pathway.,2026-08-13,10.1038/s41598-026-51321-4,42595760,Metformin improves chronic rhinosinusitis with depressive-like behavior in mice by targeting TCF4 to inhibit the TLR4/NF-κB pathway..
metformin,Chemical,affects_efficacy_of,lung cancer,Disease,0.7442057132720947,42581008,Association Between Metformin Use and Risk of Lung Cancer in Patients With Type 2 Diabetes: A Systematic Review and Meta-Analysis.,2026-08-01,10.1002/cnr2.70651,42581008,Association Between Metformin Use and Risk of Lung Cancer in Patients With Type 2 Diabetes: A Systematic Review and Meta-Analysis..
metformin,Chemical,treats,type 2 diabetes,Disease,0.7723366618156433,42581008,Association Between Metformin Use and Risk of Lung Cancer in Patients With Type 2 Diabetes: A Systematic Review and Meta-Analysis.,2026-08-01,10.1002/cnr2.70651,42581008,Association Between Metformin Use and Risk of Lung Cancer in Patients With Type 2 Diabetes: A Systematic Review and Meta-Analysis..
