paper_id,source,pmid,pmcid,doi,title,abstract,publication_date,journal,authors,article_type,is_open_access
MED-34681816,MED,34681816,,10.1007/s11356-021-14136-6,Paracetamol (Acetaminophen) and the Developing Brain.,"Paracetamol is commonly used to treat fever and pain in pregnant women, but there are growing concerns that this may cause attention deficit hyperactivity disorder and autism spectrum disorder in the offspring. A growing number of epidemiological studies suggests that relative risks for these disorders increase by an average of about 25% following intrauterine paracetamol exposure. The data analyzed point to a dose-effect relationship but cannot fully account for unmeasured confounders, notably indication and genetic transmission. Only few experimental investigations have addressed this issue. Altered behavior has been demonstrated in offspring of paracetamol-gavaged pregnant rats, and paracetamol given at or prior to day 10 of life to newborn mice resulted in altered locomotor activity in response to a novel home environment in adulthood and blunted the analgesic effect of paracetamol given to adult animals. The molecular mechanisms that might mediate these effects are unknown. Paracetamol has diverse pharmacologic actions. It reduces prostaglandin formation via competitive inhibition of the peroxidase moiety of prostaglandin H2 synthase, while its metabolite ",2021,International journal of molecular sciences,"Christoph Bührer, Stefanie Endesfelder, Till Scheuer, Thomas Schmitz",Journal Article,Y
MED-7002186,MED,7002186,,10.1111/j.1365-2125.1980.tb01812.x,Kinetics and metabolism of paracetamol and phenacetin.,"1 The rate of absorption of oral paracetamol depends on the rate of gastric emptying and is usually rapid and complete. The mean systemic availability is about 75%. 2 Paracetamol is extensively metabolized and the plasma half-life is 1.5-2.5 hours. About 55% and 30% of a therapeutic dose is excreted in the urine as glucuronide and sulphate conjugates, respectively, whereas mercapturic acid and cysteine conjugates (representing conversion to a potentially toxic intermediate metabolite) each account for some 4% of the dose. Paracetamol metabolism is age- and dose-dependent. 3 With hepatotoxic doses, paracetamol metabolism is impaired and the half-life prolonged. Sulphate conjugation is saturated and the proportion excreted as mercapturic acid and cysteine conjugates is increased. 4 The renal clearance of paracetamol depends on urine flow rate by not pH. The renal clearances of the glucuronide and sulphate conjugates often exceed the glomerular filtration rate and are independent of urine flow and pH. 5 Phenacetin absorption depends on formulation. It is extensively metabolized to paracetamol and minor metabolites are probably responsible for toxicity.",1980,British journal of clinical pharmacology,L F Prescott,Journal Article,Y
MED-15662292,MED,15662292,,10.1097/00045391-200501000-00008,Mechanism of action of paracetamol.,"Paracetamol (acetaminophen) is generally considered to be a weak inhibitor of the synthesis of prostaglandins (PGs). However, the in vivo effects of paracetamol are similar to those of the selective cyclooxygenase-2 (COX-2) inhibitors. Paracetamol also decreases PG concentrations in vivo, but, unlike the selective COX-2 inhibitors, paracetamol does not suppress the inflammation of rheumatoid arthritis. It does, however, decrease swelling after oral surgery in humans and suppresses inflammation in rats and mice. Paracetamol is a weak inhibitor of PG synthesis of COX-1 and COX-2 in broken cell systems, but, by contrast, therapeutic concentrations of paracetamol inhibit PG synthesis in intact cells in vitro when the levels of the substrate arachidonic acid are low (less than about 5 mumol/L). When the levels of arachidonic acid are low, PGs are synthesized largely by COX-2 in cells that contain both COX-1 and COX-2. Thus, the apparent selectivity of paracetamol may be due to inhibition of COX-2-dependent pathways that are proceeding at low rates. This hypothesis is consistent with the similar pharmacological effects of paracetamol and the selective COX-2 inhibitors. COX-3, a splice variant of COX-1, has been suggested to be the site of action of paracetamol, but genomic and kinetic analysis indicates that this selective interaction is unlikely to be clinically relevant. There is considerable evidence that the analgesic effect of paracetamol is central and is due to activation of descending serotonergic pathways, but its primary site of action may still be inhibition of PG synthesis. The action of paracetamol at a molecular level is unclear but could be related to the production of reactive metabolites by the peroxidase function of COX-2, which could deplete glutathione, a cofactor of enzymes such as PGE synthase.",2005,American journal of therapeutics,"Garry G Graham, Kieran F Scott",Journal Article,Y
MED-37683599,MED,37683599,,10.1111/bcp.15903,Paracetamol (acetaminophen) poisoning: The early years.,"Paracetamol (acetaminophen) was marketed in the 1950s as a nonprescription analgesic/antipyretic without any preclinical toxicity studies. It became used increasingly for self-poisoning, particularly in the UK and was belatedly found to cause acute liver damage, which could be fatal. Management of poisoned patients was difficult as maximum abnormalities of liver function were delayed for 3 days or more after an overdose. There was no treatment and the mechanism of hepatotoxicity was not known. The paracetamol half-life was prolonged with liver damage occurring when it exceeded 4 h and the Rumack-Matthew nomogram was an important advance that allowed stratification of patients into separate zones of risk. It is used to guide prognosis and treatment and its predictive value could be increased by combining it with the paracetamol half-life. The problems of a sheep farmer in Australia in the early 1970s led to the discovery of the mechanism of paracetamol hepatotoxicity, and the first effective treatment of overdosage with intravenous (IV) cysteamine. This had unpleasant side effects and administration was difficult. N-acetylcysteine soon became the treatment of choice for paracetamol overdose and given early it was very effective when administered either IV or orally. N-acetylcysteine could cause anaphylactoid reactions, particularly early during IV administration when the concentrations were highest. Simpler and shorter regimes with slower initial rates of infusion have now been introduced with a reduced incidence of these adverse effects. In addition, there has been a move to use larger doses of N-acetylcysteine given over longer periods for patients who are more severely poisoned and those with risk factors. There has been much interest recently in the search for novel biomarkers such as microRNAs, procalcitonin and cyclophilin that promise to have greater specificity and sensitivity than transaminases. Paracetamol-protein adducts predict hepatotoxicity and are specific biomarkers of toxic paracetamol metabolite exposure. Another approach would be measurement of the plasma levels of cysteine and inorganic sulfate. It is 50 years since the first effective treatment for paracetamol poisoning and, apart from liver transplantation, there is still no effective treatment for patients who present late.",2024,British journal of clinical pharmacology,Laurie F Prescott,Journal Article,Y
MED-29473717,MED,29473717,,10.1002/14651858.CD003328.pub2,Interventions for paracetamol (acetaminophen) overdose.,"Paracetamol (acetaminophen) is the most widely used non-prescription analgesic in the world. Paracetamol is commonly taken in overdose either deliberately or unintentionally. In high-income countries, paracetamol toxicity is a common cause of acute liver injury. There are various interventions to treat paracetamol poisoning, depending on the clinical status of the person. These interventions include inhibiting the absorption of paracetamol from the gastrointestinal tract (decontamination), removal of paracetamol from the vascular system, and antidotes to prevent the formation of, or to detoxify, metabolites. To assess the benefits and harms of interventions for paracetamol overdosage irrespective of the cause of the overdose. We searched The Cochrane Hepato-Biliary Group Controlled Trials Register (January 2017), CENTRAL (2016, Issue 11), MEDLINE (1946 to January 2017), Embase (1974 to January 2017), and Science Citation Index Expanded (1900 to January 2017). We also searched the World Health Organization International Clinical Trials Registry Platform and ClinicalTrials.gov database (US National Institute of Health) for any ongoing or completed trials (January 2017). We examined the reference lists of relevant papers identified by the search and other published reviews. Randomised clinical trials assessing benefits and harms of interventions in people who have ingested a paracetamol overdose. The interventions could have been gastric lavage, ipecacuanha, or activated charcoal, or various extracorporeal treatments, or antidotes. The interventions could have been compared with placebo, no intervention, or to each other in differing regimens. Two review authors independently extracted data from the included trials. We used fixed-effect and random-effects Peto odds ratios (OR) with 95% confidence intervals (CI) for analysis of the review outcomes. We used the Cochrane 'Risk of bias' tool to assess the risks of bias (i.e. systematic errors leading to overestimation of benefits and underestimation of harms). We used Trial Sequential Analysis to control risks of random errors (i.e. play of chance) and GRADE to assess the quality of the evidence and constructed 'Summary of findings' tables using GRADE software. We identified 11 randomised clinical trials (of which one acetylcysteine trial was abandoned due to low numbers recruited), assessing several different interventions in 700 participants. The variety of interventions studied included decontamination, extracorporeal measures, and antidotes to detoxify paracetamol's toxic metabolite; which included methionine, cysteamine, dimercaprol, or acetylcysteine. There were no randomised clinical trials of agents that inhibit cytochrome P-450 to decrease the activation of the toxic metabolite N-acetyl-p-benzoquinone imine.Of the 11 trials, only two had two common outcomes, and hence, we could only meta-analyse two comparisons. Each of the remaining comparisons included outcome data from one trial only and hence their results are presented as described in the trials. All trial analyses lack power to access efficacy. Furthermore, all the trials were at high risk of bias. Accordingly, the quality of evidence was low or very low for all comparisons. Interventions that prevent absorption, such as gastric lavage, ipecacuanha, or activated charcoal were compared with placebo or no intervention and with each other in one four-armed randomised clinical trial involving 60 participants with an uncertain randomisation procedure and hence very low quality. The trial presented results on lowering plasma paracetamol levels. Activated charcoal seemed to reduce the absorption of paracetamol, but the clinical benefits were unclear. Activated charcoal seemed to have the best risk:benefit ratio among gastric lavage, ipecacuanha, or supportive treatment if given within four hours of ingestion. There seemed to be no difference between gastric lavage and ipecacuanha, but gastric lavage and ipecacuanha seemed more effective than no treatment (very low quality of evidence). Extracorporeal interventions included charcoal haemoperfusion compared with conventional treatment (supportive care including gastric lavage, intravenous fluids, and fresh frozen plasma) in one trial with 16 participants. The mean cumulative amount of paracetamol removed was 1.4 g. One participant from the haemoperfusion group who had ingested 135 g of paracetamol, died. There were no deaths in the conventional treatment group. Accordingly, we found no benefit of charcoal haemoperfusion (very low quality of evidence). Acetylcysteine appeared superior to placebo and had fewer adverse effects when compared with dimercaprol or cysteamine. Acetylcysteine superiority to methionine was unproven. One small trial (low quality evidence) found that acetylcysteine may reduce mortality in people with fulminant hepatic failure (Peto OR 0.29, 95% CI 0.09 to 0.94). The most recent randomised clinical trials studied different acetylcysteine regimens, with the primary outcome being adverse events. It was unclear which acetylcysteine treatment protocol offered the best efficacy, as most trials were underpowered to look at this outcome. One trial showed that a modified 12-hour acetylcysteine regimen with a two-hour acetylcysteine 100 mg/kg bodyweight loading dose was associated with significantly fewer adverse reactions compared with the traditional three-bag 20.25-hour regimen (low quality of evidence). All Trial Sequential Analyses showed lack of sufficient power. Children were not included in the majority of trials. Hence, the evidence pertains only to adults. These results highlight the paucity of randomised clinical trials comparing different interventions for paracetamol overdose and their routes of administration and the low or very low level quality of the evidence that is available. Evidence from a single trial found activated charcoal seemed the best choice to reduce absorption of paracetamol. Acetylcysteine should be given to people at risk of toxicity including people presenting with liver failure. Further randomised clinical trials with low risk of bias and adequate number of participants are required to determine which regimen results in the fewest adverse effects with the best efficacy. Current management of paracetamol poisoning worldwide involves the administration of intravenous or oral acetylcysteine which is based mainly on observational studies. Results from these observational studies indicate that treatment with acetylcysteine seems to result in a decrease in morbidity and mortality, However, further evidence from randomised clinical trials comparing different treatments are needed.",2018,The Cochrane database of systematic reviews,"Angela L Chiew, Christian Gluud, Jesper Brok, Nick A Buckley",Journal Article,Y
MED-35175416,MED,35175416,,10.1007/s00431-022-04407-w,Paracetamol (acetaminophen) use in infants and children was never shown to be safe for neurodevelopment: a systematic review with citation tracking.,"Although widely believed by pediatricians and parents to be safe for use in infants and children when used as directed, increasing evidence indicates that early life exposure to paracetamol (acetaminophen) may cause long-term neurodevelopmental problems. Furthermore, recent studies in animal models demonstrate that cognitive development is exquisitely sensitive to paracetamol exposure during early development. In this study, evidence for the claim that paracetamol is safe was evaluated using a systematic literature search. Publications on PubMed between 1974 and 2017 that contained the keywords ""infant"" and either ""paracetamol"" or ""acetaminophen"" were considered. Of those initial 3096 papers, 218 were identified that made claims that paracetamol was safe for use with infants or children. From these 218, a total of 103 papers were identified as sources of authority for the safety claim.   Conclusion: A total of 52 papers contained actual experiments designed to test safety, and had a median follow-up time of 48 h. None monitored neurodevelopment. Furthermore, no trial considered total exposure to drug since birth, eliminating the possibility that the effects of drug exposure on long-term neurodevelopment could be accurately assessed. On the other hand, abundant and sufficient evidence was found to conclude that paracetamol does not induce acute liver damage in babies or children when used as directed. What is Known: • Paracetamol (acetaminophen) is widely thought by pediatricians and parents to be safe when used as directed in the pediatric population, and is the most widely used drug in that population, with more than 90% of children exposed to the drug in some reports. • Paracetamol is known to cause liver damage in adults under conditions of oxidative stress or when used in excess, but increasing evidence from studies in humans and in laboratory animals indicates that the target organ for paracetamol toxicity during early development is the brain, not the liver. What is New: • This study finds hundreds of published reports in the medical literature asserting that paracetamol is safe when used as directed, providing a foundation for the widespread belief that the drug is safe. • This study shows that paracetamol was proven to be safe by approximately 50 short-term studies demonstrating the drug's safety for the pediatric liver, but the drug was never shown to be safe for neurodevelopment. Paracetamol is widely believed to be safe for infants and children when used as directed, despite mounting evidence in humans and in laboratory animals indicating that the drug is not safe for neurodevelopment. An exhaustive search of published work cited for safe use of paracetamol in the pediatric population revealed 52 experimental studies pointing toward safety, but the median follow-up time was only 48 h, and neurodevelopment was never assessed.",2022,European journal of pediatrics,"Jasmine Cendejas-Hernandez, Joshua T Sarafian, Victoria G Lawton, Antara Palkar",Journal Article,Y
MED-12749738,MED,12749738,,10.2165/00003495-200363110-00007,Tramadol/paracetamol.,"The orally administered fixed combination tablet of tramadol (centrally-acting opiate) plus paracetamol (acetaminophen; nonopiate, nonsalicylate analgesic) [37.5/325 mg] provides effective analgesia in patients with moderate to severe acute pain and those with chronic painful conditions characterised by intermittent exacerbations of pain. Two tramadol/paracetamol 37.5/325 mg tablets provided greater relief of dental pain over an 8-hour period than either agent alone, with a faster onset of action than tramadol alone and a longer duration of action than either agent as monotherapy. In patients with postoperative dental pain, two tramadol/paracetamol tablets (37.5/325 mg) provided similar analgesia to hydrocodone/paracetamol 10/650 mg over an 8-hour period. The addition of one or two tramadol/paracetamol 37.5/32 5mg tablets (up to four times daily) for 5 days to existing NSAID or cyclo-oxygenase-2 inhibitor analgesic therapy provided effective pain relief in patients with osteoarthritis flare pain. Tramadol/paracetamol 37.5/325 mg provided similar efficacy to that of codeine/paracetamol 30/300 mg in patients with chronic back pain in a 4-week, randomised, double-blind trial (a maximum of 10 tablets or capsules per day of the active drug).",2003,Drugs,"Karen McClellan, Lesley J Scott",Journal Article,Y
MED-40402381,MED,40402381,,10.1097/FBP.0b013e3283566065,Paracetamol: the potential therapeutic pathways defining its clinical use.,"The non-narcotic analgesic paracetamol is used as both an antipyretic and an analgesic. For mild-to-moderate pain, paracetamol is utilized; however, because it has no anti-inflammatory effect, it is not as effective as non-steroidal anti-inflammatory medicines (NSAIDs) as to reduce pain. Even while paracetamol is widely used and safe, its exact mechanism is still unknown. It has been shown that in addition to the well-established cyclooxygenase (COX) pathways, paracetamol and its metabolites can also modify other signaling pain pathways. The COX enzyme is inhibited by paracetamol either directly or indirectly through the activation of cannabinoid receptors (CB1R and CB2R) and transient receptor potential cation channel subfamily member 1 (TRPV1) by its metabolite N-arachidonoylphenolamine (AM404). Furthermore, paracetamol increases serotonin release, decreases serotonin metabolism, or blocks serotonin reuptake to boost serotonin levels in the brain. A small number of animal studies have suggested that COX-3, a brain-expressed COX-1 variation, may have a therapeutic role in the way paracetamol works. However, the COX-3 pathway alone cannot account for paracetamol's potent analgesic, antinociceptive, and antipyretic properties. The possible molecular routes of paracetamol with regard to its clinical applications are therefore revised in this review.",2025,Inflammopharmacology,"Hayder M Al-Kuraishy, Ali I Al-Gareeb, Ali K Albuhadily, Eman M Abd El-Maksoud",Journal Article,Y
MED-34455434,MED,34455434,,10.1093/ijpp/riab058,Paracetamol: unconventional uses of a well-known drug.,"To describe and map what is known about unconventional uses of paracetamol through a scoping review of published literature by adopting adopted a PRISMA systematic approach methodology. Four themes for unconventional uses of paracetamol emerged: (a) use of paracetamol in sleep (a-1) positive effect of paracetamol on sleep (n = 9) or (a-2) neutral or negative effect of paracetamol on sleep (n = 9); (b) use of paracetamol in sport (n = 13); (c) mixing paracetamol with drinks, waterpipe and illicit drugs (n = 5); and (d) miscellaneous uses (n = 4). Forty records were reviewed and charted. Available literature supports concern around the potential of harmful or non-medical use of paracetamol, especially among patients with a history of substance use, parents of young children or athletes. Paracetamol (acetaminophen) is one of the most popular and widely used drugs for the treatment of pain and fever. It is considered remarkably safe if used within instructions. However, there is growing evidence that paracetamol, is sometimes used outside approved indications or abused (i.e. used for non-medical reasons). This review highlights the need for enhanced pharmacovigilance and surveillance of non-medical paracetamol use and raising general public awareness of its potential dangers especially in higher than recommended doses.",2021,The International journal of pharmacy practice,"Sarah Bloukh, Mayyada Wazaify, Catriona Matheson",Journal Article,Y
MED-3552585,MED,3552585,,10.2165/00003495-198600324-00005,Paracetamol and phenacetin.,"Since their synthesis in the late 1800s paracetamol (acetaminophen) and phenacetin have followed divergent pathways with regard to their popularity as mild analgesic/antipyretic drugs. Initially, paracetamol was discarded in favour of phenacetin because the latter drug was supposedly less toxic. Today the opposite is true, and paracetamol, along with aspirin, has become one of the two most popular 'over-the-counter' non-narcotic analgesic agents. This marked increase in the wide approval attained by paracetamol has been accompanied by the virtual commercial demise of phenacetin because of its role, albeit somewhat circumstantial, in causing analgesic nephropathy. Both paracetamol and phenacetin are effective mild analgesics, suitable for treating mild to moderate pain, and their actions are broadly comparable with those of aspirin and related salicylates, although they do not appear to possess significant anti-inflammatory activity. Since a major portion of a dose of phenacetin is rapidly metabolised to paracetamol, it seems possible that phenacetin owes some of its therapeutic activity to its main metabolite, paracetamol, whereas its most troublesome side effect (methaemoglobinaemia) is due to another metabolite, p-phenetidine. The mechanism of action of paracetamol is poorly defined, although it has been speculated that it may selectively inhibit prostaglandin production in the central nervous system, which would account for its analgesic/antipyretic properties. The lack of any significant influence on peripheral cyclooxygenase would explain the absence of anti-inflammatory activity. At therapeutic doses paracetamol is well tolerated and produces fewer side effects than aspirin. The most frequently reported adverse effect associated with paracetamol is hepatotoxicity, which occurs after acute overdosage (usually doses greater than 10 to 15g are needed) and, very rarely, during long term treatment with doses at the higher levels of the therapeutic range. Paracetamol damages the liver through the formation of a highly reactive metabolite which is normally inactivated by conjugation with glutathione. Overdoses of paracetamol exhaust glutathione stores, thus allowing the accumulation of this toxic metabolite which covalently binds with vital cell elements and can result in liver necrosis. Glutathione precursors (notably intravenous N-acetylcysteine) have proved remarkably successful in treating paracetamol overdose, as long as treatment is initiated within 10 hours.(ABSTRACT TRUNCATED AT 400 WORDS)",1986,Drugs,S P Clissold,Journal Article,Y
