paper_id,title,publication_date,doi,pmid,subject,subject_type,subject_confidence,relation,relation_confidence,object,object_type,object_confidence,sentence
42532077,Metformin added to lifestyle intervention for physical function in older adults with obesity (DEMFOS trial): a randomised controlled trial.,2027-07-01,10.1016/j.lanhl.2026.100883,42532077,metformin,Chemical,0.9984059929847717,treats,0.9880560636520386,obesity,Disease,0.9892910122871399,Metformin added to lifestyle intervention for physical function in older adults with obesity (DEMFOS trial): a randomised controlled trial..
42532078,Adjunctive metformin for obesity and frailty in older people-puncturing inflated expectations?,2027-07-01,10.1016/j.lanhl.2026.100890,42532078,metformin,Chemical,0.9985606074333191,treats,0.9934855103492737,obesity,Disease,0.9942637085914612,Adjunctive metformin for obesity and frailty in older people-puncturing inflated expectations?.
42532078,Adjunctive metformin for obesity and frailty in older people-puncturing inflated expectations?,2027-07-01,10.1016/j.lanhl.2026.100890,42532078,metformin,Chemical,0.9985606074333191,treats,0.9905363917350769,frailty,Disease,0.992362380027771,Adjunctive metformin for obesity and frailty in older people-puncturing inflated expectations?.
PPR1294102,Randomized metformin and cognitive outcomes in the Diabetes Prevention Program Outcomes Study,2026-08-07,10.64898/2026.08.05.26359234,,metformin,Chemical,0.9983620047569275,treats,0.9003170728683472,diabetes,Disease,0.8852533102035522,Randomized metformin and cognitive outcomes in the Diabetes Prevention Program Outcomes Study.
42528302,Impact of Metformin Use on Clinical and Pathological Outcomes in Breast Cancer Patients With Type 2 Diabetes.,2026-08-01,10.1002/cnr2.70631,42528302,metformin,Chemical,0.9980999827384949,treats,0.8487040400505066,breast cancer,Disease,0.9955474138259888,Impact of Metformin Use on Clinical and Pathological Outcomes in Breast Cancer Patients With Type 2 Diabetes..
42587816,Metformin Inhibits Cardiac Fibroblast Differentiation by Promoting Fatty Acid β-Oxidation: Implications for Age-Associated Cardiac Fibrosis.,2026-08-04,10.3390/cells15151408,42587816,metformin,Chemical,0.9983365535736084,inhibits,0.8844128251075745,cardiac fibrosis,Disease,0.8787198066711426,Metformin Inhibits Cardiac Fibroblast Differentiation by Promoting Fatty Acid β-Oxidation: Implications for Age-Associated Cardiac Fibrosis..
42592843,Impact of Oral Contraceptives and Metformin on Advanced Lipid Phenotyping in PCOS.,2026-08-13,10.1093/ejendo/lvag149,42592843,metformin,Chemical,0.9975588321685791,affects_efficacy_of,0.7482094168663025,pcos,Disease,0.9905469417572021,Impact of Oral Contraceptives and Metformin on Advanced Lipid Phenotyping in PCOS..
42592843,Impact of Oral Contraceptives and Metformin on Advanced Lipid Phenotyping in PCOS.,2026-08-13,10.1093/ejendo/lvag149,42592843,oral contraceptives,Chemical,0.9928456544876099,treats,0.7142592668533325,pcos,Disease,0.9905469417572021,Impact of Oral Contraceptives and Metformin on Advanced Lipid Phenotyping in PCOS..
PPR1288130,A Randomized Clinical Trial of Metformin to Reduce Frailty in Older Adults with Glucose Intolerance,2026-07-28,10.64898/2026.07.27.26359055,,metformin,Chemical,0.9981346130371094,treats,0.9325709342956543,frailty,Disease,0.9838111996650696,A Randomized Clinical Trial of Metformin to Reduce Frailty in Older Adults with Glucose Intolerance.
PPR1288130,A Randomized Clinical Trial of Metformin to Reduce Frailty in Older Adults with Glucose Intolerance,2026-07-28,10.64898/2026.07.27.26359055,,metformin,Chemical,0.9981346130371094,treats,0.9363960027694702,glucose intolerance,Disease,0.9910554885864258,A Randomized Clinical Trial of Metformin to Reduce Frailty in Older Adults with Glucose Intolerance.
42570748,The effects of Metformin on myocardial ischemia and reperfusion injury in diabetic rats and its potential mechanism.,2026-08-08,10.1016/j.cellsig.2026.112802,42570748,metformin,Chemical,0.9984570741653442,treats,0.9406152367591858,myocardial ischemia and reperfusion injury,Disease,0.9839722514152527,The effects of Metformin on myocardial ischemia and reperfusion injury in diabetic rats and its potential mechanism..
42604858,Adjunctive metformin therapy in type 1 diabetes in pregnancy: insights from an Australian cohort.,2026-08-16,10.1111/imj.70607,42604858,metformin,Chemical,0.998561680316925,treats,0.989905059337616,type 1 diabetes,Disease,0.9930923581123352,Adjunctive metformin therapy in type 1 diabetes in pregnancy: insights from an Australian cohort..
42555357,The coordinated actions of metformin in the intestine and liver improves hyperglycemia.,2026-08-05,10.1016/j.celrep.2026.117791,42555357,metformin,Chemical,0.9984588623046875,treats,0.797653079032898,hyperglycemia,Disease,0.9939686059951782,The coordinated actions of metformin in the intestine and liver improves hyperglycemia..
